Date : 2020-05-17 23:42:05
Directory : /Users/fairy/work/bistu/Semitic
Total : 231 files,  102979 codes, 28041 comments, 17443 blanks, all 148463 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /Users/fairy/work/bistu/Semitic/static/css/bootstrap.min.css                                                   | CSS          |          1 |          4 |          0 |          5 |
| /Users/fairy/work/bistu/Semitic/static/css/font-awesome.min.css                                                | CSS          |          1 |          3 |          0 |          4 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/Blue.less                                                     | Less         |          3 |          0 |          1 |          4 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/azure.css                                                     | CSS          |        479 |         40 |          0 |        519 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/azure.less                                                    | Less         |          3 |          0 |          1 |          4 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/azure.min.css                                                 | CSS          |          1 |          0 |          0 |          1 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/black.css                                                     | CSS          |        479 |         40 |          0 |        519 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/black.less                                                    | Less         |          3 |          0 |          1 |          4 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/black.min.css                                                 | CSS          |          1 |          0 |          0 |          1 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/blue.css                                                      | CSS          |        479 |         40 |          0 |        519 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/blue.min.css                                                  | CSS          |          1 |          0 |          0 |          1 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/darkblue.css                                                  | CSS          |        479 |         40 |          0 |        519 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/darkblue.less                                                 | Less         |          3 |          0 |          1 |          4 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/darkblue.min.css                                              | CSS          |          1 |          0 |          0 |          1 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/darkred.css                                                   | CSS          |        479 |         40 |          0 |        519 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/darkred.less                                                  | Less         |          3 |          0 |          1 |          4 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/darkred.min.css                                               | CSS          |          1 |          0 |          0 |          1 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/deepblue.css                                                  | CSS          |        479 |         40 |          0 |        519 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/deepblue.less                                                 | Less         |          3 |          0 |          1 |          4 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/deepblue.min.css                                              | CSS          |          1 |          0 |          0 |          1 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/gray.css                                                      | CSS          |        479 |         40 |          0 |        519 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/gray.less                                                     | Less         |          3 |          0 |          1 |          4 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/gray.min.css                                                  | CSS          |          1 |          0 |          0 |          1 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/green.css                                                     | CSS          |        479 |         40 |          0 |        519 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/green.less                                                    | Less         |          3 |          0 |          1 |          4 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/green.min.css                                                 | CSS          |          1 |          0 |          0 |          1 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/orange.css                                                    | CSS          |        479 |         40 |          0 |        519 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/orange.less                                                   | Less         |          3 |          0 |          1 |          4 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/orange.min.css                                                | CSS          |          1 |          0 |          0 |          1 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/pink.css                                                      | CSS          |        479 |         40 |          0 |        519 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/pink.less                                                     | Less         |          3 |          0 |          1 |          4 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/pink.min.css                                                  | CSS          |          1 |          0 |          0 |          1 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/purple.css                                                    | CSS          |        479 |         40 |          0 |        519 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/purple.less                                                   | Less         |          3 |          0 |          1 |          4 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/purple.min.css                                                | CSS          |          1 |          0 |          0 |          1 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/skins-mixins.css                                              | CSS          |          0 |          0 |          1 |          1 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/skins-mixins.less                                             | Less         |        711 |         43 |         98 |        852 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/skins-mixins.min.css                                          | CSS          |          0 |          0 |          1 |          1 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/teal.css                                                      | CSS          |        479 |         40 |          0 |        519 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/teal.less                                                     | Less         |          3 |          0 |          1 |          4 |
| /Users/fairy/work/bistu/Semitic/static/css/skins/teal.min.css                                                  | CSS          |          1 |          0 |          0 |          1 |
| /Users/fairy/work/bistu/Semitic/static/css/weather-icons.min.css                                               | CSS          |          1 |         22 |          0 |         23 |
| /Users/fairy/work/bistu/Semitic/static/fonts/fontawesome-webfont.svg                                           | XML          |        565 |          0 |          0 |        565 |
| /Users/fairy/work/bistu/Semitic/static/fonts/glyphicons-halflings-regular.svg                                  | XML          |        288 |          0 |          0 |        288 |
| /Users/fairy/work/bistu/Semitic/static/fonts/typicons.svg                                                      | XML          |      1,180 |          0 |          1 |      1,181 |
| /Users/fairy/work/bistu/Semitic/static/fonts/weathericons-regular-webfont.svg                                  | XML          |        153 |          0 |          0 |        153 |
| /Users/fairy/work/bistu/Semitic/static/js/beyond.js                                                            | JavaScript   |        512 |         32 |         79 |        623 |
| /Users/fairy/work/bistu/Semitic/static/js/beyond.min.js                                                        | JavaScript   |          1 |          1 |          1 |          3 |
| /Users/fairy/work/bistu/Semitic/static/js/bootstrap.js                                                         | JavaScript   |      1,588 |        193 |        583 |      2,364 |
| /Users/fairy/work/bistu/Semitic/static/js/bootstrap.min.js                                                     | JavaScript   |          2 |          5 |          0 |          7 |
| /Users/fairy/work/bistu/Semitic/static/js/jquery.min.js                                                        | JavaScript   |          3 |          1 |          1 |          5 |
| /Users/fairy/work/bistu/Semitic/static/js/skins.js                                                             | JavaScript   |         65 |         11 |          8 |         84 |
| /Users/fairy/work/bistu/Semitic/static/js/skins.min.js                                                         | JavaScript   |          1 |          3 |          0 |          4 |
| /Users/fairy/work/bistu/Semitic/static/js/slimscroll/jquery.slimscroll.js                                      | JavaScript   |        299 |         88 |         84 |        471 |
| /Users/fairy/work/bistu/Semitic/static/js/slimscroll/jquery.slimscroll.min.js                                  | JavaScript   |          9 |          7 |          0 |         16 |
| /Users/fairy/work/bistu/Semitic/static/lib/layer/layer.js                                                      | JavaScript   |          1 |          1 |          0 |          2 |
| /Users/fairy/work/bistu/Semitic/static/lib/layer/mobile/layer.js                                               | JavaScript   |          1 |          1 |          0 |          2 |
| /Users/fairy/work/bistu/Semitic/static/lib/layer/mobile/need/layer.css                                         | CSS          |          1 |          0 |          0 |          1 |
| /Users/fairy/work/bistu/Semitic/static/lib/layer/theme/default/layer.css                                       | CSS          |          1 |          0 |          0 |          1 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/anchor/anchor.html                                  | HTML         |         40 |          0 |          0 |         40 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/attachment/attachment.css                           | CSS          |        619 |          5 |         57 |        681 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/attachment/attachment.html                          | HTML         |         48 |          5 |          7 |         60 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/attachment/attachment.js                            | JavaScript   |        625 |         47 |         82 |        754 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/background/background.css                           | CSS          |         87 |          1 |          6 |         94 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/background/background.html                          | HTML         |         55 |          0 |          2 |         57 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/background/background.js                            | JavaScript   |        321 |         20 |         35 |        376 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/charts/chart.config.js                              | JavaScript   |         59 |          4 |          3 |         66 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/charts/charts.css                                   | CSS          |        136 |          2 |         27 |        165 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/charts/charts.html                                  | HTML         |         89 |          0 |          0 |         89 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/charts/charts.js                                    | JavaScript   |        299 |         47 |        173 |        519 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/emotion/emotion.css                                 | CSS          |         41 |          0 |          2 |         43 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/emotion/emotion.html                                | HTML         |         54 |          0 |          0 |         54 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/emotion/emotion.js                                  | JavaScript   |        164 |          3 |         20 |        187 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/gmap/gmap.html                                      | HTML         |         87 |          0 |          2 |         89 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/help/help.css                                       | CSS          |          7 |          0 |          0 |          7 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/help/help.html                                      | HTML         |         82 |          0 |          0 |         82 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/help/help.js                                        | JavaScript   |         33 |         19 |          4 |         56 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/image/image.css                                     | CSS          |        807 |          7 |         80 |        894 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/image/image.html                                    | HTML         |        103 |          7 |         10 |        120 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/image/image.js                                      | JavaScript   |        889 |        152 |        102 |      1,143 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/insertframe/insertframe.html                        | HTML         |         95 |          0 |          3 |         98 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/internal.js                                         | JavaScript   |         66 |          5 |         11 |         82 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/link/link.html                                      | HTML         |        119 |          0 |          8 |        127 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/map/map.html                                        | HTML         |        130 |          0 |          6 |        136 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/map/show.html                                       | HTML         |        106 |          2 |         10 |        118 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/music/music.css                                     | CSS          |         23 |          0 |          7 |         30 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/music/music.html                                    | HTML         |         32 |          0 |          0 |         32 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/music/music.js                                      | JavaScript   |        185 |          0 |          8 |        193 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/preview/preview.html                                | HTML         |         39 |          0 |          1 |         40 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/scrawl/scrawl.css                                   | CSS          |         52 |         10 |         11 |         73 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/scrawl/scrawl.html                                  | HTML         |         92 |          0 |          3 |         95 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/scrawl/scrawl.js                                    | JavaScript   |        616 |         16 |         40 |        672 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/searchreplace/searchreplace.html                    | HTML         |         94 |          6 |          2 |        102 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/searchreplace/searchreplace.js                      | JavaScript   |        132 |         26 |          6 |        164 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/snapscreen/snapscreen.html                          | HTML         |         56 |          0 |          2 |         58 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/spechars/spechars.html                              | HTML         |         21 |          0 |          0 |         21 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/spechars/spechars.js                                | JavaScript   |         50 |          7 |          1 |         58 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/table/edittable.css                                 | CSS          |         70 |          0 |         14 |         84 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/table/edittable.html                                | HTML         |         64 |          0 |          0 |         64 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/table/edittable.js                                  | JavaScript   |        211 |          7 |         19 |        237 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/table/edittd.html                                   | HTML         |         58 |          0 |          3 |         61 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/table/edittip.html                                  | HTML         |         32 |          0 |          1 |         33 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/template/config.js                                  | JavaScript   |         32 |          7 |          3 |         42 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/template/template.css                               | CSS          |         18 |          0 |          0 |         18 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/template/template.html                              | HTML         |         26 |          0 |          1 |         27 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/template/template.js                                | JavaScript   |         45 |          7 |          1 |         53 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/video/video.css                                     | CSS          |        574 |          3 |         58 |        635 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/video/video.html                                    | HTML         |         80 |          3 |          3 |         86 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/video/video.js                                      | JavaScript   |        626 |         81 |         85 |        792 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/webapp/webapp.html                                  | HTML         |         50 |          0 |          3 |         53 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/wordimage/tangram.js                                | JavaScript   |        675 |        663 |        158 |      1,496 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/wordimage/wordimage.html                            | HTML         |        106 |          0 |          5 |        111 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/dialogs/wordimage/wordimage.js                              | JavaScript   |        125 |         17 |         15 |        157 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/index.html                                                  | HTML         |        160 |          2 |         13 |        175 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/lang/en/en.js                                               | JavaScript   |        669 |          8 |          8 |        685 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/lang/zh-cn/zh-cn.js                                         | JavaScript   |        652 |          8 |         10 |        670 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/php/Uploader.class.php                                      | PHP          |        252 |         78 |         42 |        372 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/php/action_crawler.php                                      | PHP          |         32 |          9 |          3 |         44 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/php/action_list.php                                         | PHP          |         61 |         23 |          8 |         92 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/php/action_upload.php                                       | PHP          |         42 |         20 |          5 |         67 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/php/config.json                                             | JSON         |         65 |         21 |          8 |         94 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/php/controller.php                                          | PHP          |         42 |         10 |          7 |         59 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/themes/default/css/ueditor.css                              | CSS          |      1,538 |         77 |        288 |      1,903 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/themes/default/css/ueditor.min.css                          | CSS          |          1 |          5 |          2 |          8 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/themes/default/dialogbase.css                               | CSS          |         78 |          8 |         14 |        100 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/themes/iframe.css                                           | CSS          |          0 |          1 |          1 |          2 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/third-party/SyntaxHighlighter/shCore.js                     | JavaScript   |      2,470 |        688 |        498 |      3,656 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/third-party/SyntaxHighlighter/shCoreDefault.css             | CSS          |          1 |          0 |          0 |          1 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/third-party/codemirror/codemirror.css                       | CSS          |         89 |          3 |         13 |        105 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/third-party/codemirror/codemirror.js                        | JavaScript   |      3,289 |        173 |        120 |      3,582 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/third-party/highcharts/adapters/mootools-adapter.js         | JavaScript   |          5 |          8 |          1 |         14 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/third-party/highcharts/adapters/mootools-adapter.src.js     | JavaScript   |        178 |         92 |         44 |        314 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/third-party/highcharts/adapters/prototype-adapter.js        | JavaScript   |          6 |          9 |          1 |         16 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/third-party/highcharts/adapters/prototype-adapter.src.js    | JavaScript   |        204 |         71 |         42 |        317 |
| /Users/fairy/work/bistu/Semitic/static/lib/ueditor/third-party/highcharts/adapters/standalone-framework.js     | JavaScript   |         10 |          7 |          1 |         18 |
